dimension,segment,period,users,visits,meaningful_visits,meaningful_rate,product_visits,product_rate,catalog_landing_visits,catalog_to_product_visits,catalog_to_product_rate,intent_visits,intent_rate,intent_confidence
content,6,Органика · март,1,2,0,0.0,0,0.0,2,0,0.0,0,0.0,Недостаточно данных
content,14,Органика · март,1,1,0,0.0,0,0.0,1,0,0.0,0,0.0,Недостаточно данных
content,пост,Разрыв данных · апрель–июнь,6,13,0,0.0,0,0.0,13,0,0.0,0,0.0,Недостаточно данных
content,(none),Разрыв данных · апрель–июнь,3,8,2,0.25,2,0.25,1,0,0.0,0,0.0,Недостаточно данных
content,6,Разрыв данных · апрель–июнь,1,4,0,0.0,0,0.0,4,0,0.0,0,0.0,Недостаточно данных
content,link_in_bio,Разрыв данных · апрель–июнь,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
country,ОАЭ,Волна 1 · январь–февраль,16928,19357,1769,0.0913881283256703,1550,0.08007439169292763,18375,753,0.04097959183673469,211,0.010900449449811438,Можно сравнивать
country,Индия,Волна 1 · январь–февраль,375,419,33,0.07875894988066826,26,0.06205250596658711,401,15,0.03740648379052369,4,0.00954653937947494,Недостаточно данных
country,Соединенные Штаты,Волна 1 · январь–февраль,364,393,44,0.11195928753180662,35,0.089058524173028,309,8,0.025889967637540454,2,0.005089058524173028,Недостаточно данных
country,Россия,Волна 1 · январь–февраль,238,325,190,0.5846153846153846,150,0.46153846153846156,58,11,0.1896551724137931,12,0.036923076923076927,Недостаточно данных
country,Франция,Волна 1 · январь–февраль,281,305,21,0.06885245901639345,18,0.05901639344262295,290,8,0.027586206896551724,3,0.009836065573770493,Недостаточно данных
country,Германия,Волна 1 · январь–февраль,213,231,21,0.09090909090909091,17,0.0735930735930736,215,6,0.027906976744186046,4,0.017316017316017316,Недостаточно данных
country,Сингапур,Волна 1 · январь–февраль,218,231,13,0.05627705627705628,11,0.047619047619047616,225,6,0.02666666666666667,2,0.008658008658008658,Недостаточно данных
country,Нидерланды,Волна 1 · январь–февраль,135,158,38,0.24050632911392406,33,0.2088607594936709,87,7,0.08045977011494253,2,0.012658227848101266,Недостаточно данных
country,Пакистан,Волна 1 · январь–февраль,97,111,5,0.04504504504504504,3,0.02702702702702703,103,0,0.0,2,0.018018018018018018,Недостаточно данных
country,Великобритания,Волна 1 · январь–февраль,94,101,8,0.07920792079207921,6,0.0594059405940594,94,2,0.02127659574468085,2,0.019801980198019802,Недостаточно данных
country,Бангладеш,Волна 1 · январь–февраль,66,77,6,0.07792207792207792,4,0.05194805194805195,75,3,0.04,1,0.012987012987012988,Недостаточно данных
country,Черногория,Волна 1 · январь–февраль,10,75,36,0.48,17,0.22666666666666666,17,3,0.17647058823529413,6,0.08,Недостаточно данных
country,Непал,Волна 1 · январь–февраль,67,73,3,0.0410958904109589,3,0.0410958904109589,70,0,0.0,1,0.0136986301369863,Недостаточно данных
country,Египет,Волна 1 · январь–февраль,43,47,6,0.1276595744680851,5,0.10638297872340426,41,1,0.024390243902439025,0,0.0,Недостаточно данных
country,Беларусь,Волна 1 · январь–февраль,20,35,15,0.42857142857142855,11,0.3142857142857143,11,1,0.09090909090909091,5,0.14285714285714285,Недостаточно данных
country,Ирландия,Волна 1 · январь–февраль,34,34,4,0.11764705882352941,3,0.08823529411764706,30,0,0.0,0,0.0,Недостаточно данных
country,Финляндия,Волна 1 · январь–февраль,29,30,7,0.23333333333333334,6,0.2,24,2,0.08333333333333333,0,0.0,Недостаточно данных
country,Саудовская Аравия,Волна 1 · январь–февраль,26,28,3,0.10714285714285714,3,0.10714285714285714,28,3,0.10714285714285714,0,0.0,Недостаточно данных
country,Литва,Волна 1 · январь–февраль,24,24,4,0.16666666666666666,3,0.125,22,1,0.045454545454545456,0,0.0,Недостаточно данных
country,Филиппины,Волна 1 · январь–февраль,20,21,2,0.09523809523809523,2,0.09523809523809523,20,1,0.05,0,0.0,Недостаточно данных
country,Армения,Волна 1 · январь–февраль,11,15,5,0.3333333333333333,3,0.2,0,0,,0,0.0,Недостаточно данных
country,Оман,Волна 1 · январь–февраль,13,14,1,0.07142857142857142,1,0.07142857142857142,14,1,0.07142857142857142,0,0.0,Недостаточно данных
country,Индонезия,Волна 1 · январь–февраль,10,13,4,0.3076923076923077,3,0.23076923076923078,10,1,0.1,0,0.0,Недостаточно данных
country,Эфиопия,Волна 1 · январь–февраль,13,13,1,0.07692307692307693,1,0.07692307692307693,13,1,0.07692307692307693,0,0.0,Недостаточно данных
country,Италия,Волна 1 · январь–февраль,11,12,2,0.16666666666666666,2,0.16666666666666666,11,1,0.09090909090909091,0,0.0,Недостаточно данных
country,Таиланд,Волна 1 · январь–февраль,8,12,5,0.4166666666666667,5,0.4166666666666667,5,1,0.2,0,0.0,Недостаточно данных
country,Чехия,Волна 1 · январь–февраль,11,12,2,0.16666666666666666,2,0.16666666666666666,10,1,0.1,0,0.0,Недостаточно данных
country,Шри-Ланка,Волна 1 · январь–февраль,12,12,3,0.25,3,0.25,10,1,0.1,0,0.0,Недостаточно данных
country,Канада,Волна 1 · январь–февраль,11,11,2,0.18181818181818182,2,0.18181818181818182,7,0,0.0,0,0.0,Недостаточно данных
country,Неизвестно,Волна 1 · январь–февраль,10,11,4,0.36363636363636365,2,0.18181818181818182,6,1,0.16666666666666666,0,0.0,Недостаточно данных
country,Швеция,Волна 1 · январь–февраль,10,11,2,0.18181818181818182,2,0.18181818181818182,7,1,0.14285714285714285,0,0.0,Недостаточно данных
country,Кипр,Волна 1 · январь–февраль,9,10,2,0.2,2,0.2,9,1,0.1111111111111111,0,0.0,Недостаточно данных
country,Австрия,Волна 1 · январь–февраль,7,9,4,0.4444444444444444,4,0.4444444444444444,6,1,0.16666666666666666,0,0.0,Недостаточно данных
